79049004;11,2;
80086002;9,8;
80271002;9,6;
80379002;10,4;
81115002;12,5;
83061001;14,5;
83069002;15,9;
83124002;12,5;
83137001;15,1;
83150002;12,6;
84085004;11;
85092004;12,4;
85104001;12,5;
85163001;11,9;
86078002;11,6;
86137003;11,4;
86165005;11,6;
88033002;7,9;
88393003;9,3;
88486003;8,9;
89131001;10,1;
89333001;10,4;
89365001;10,6;
89387002;11;
91069001;10,9;
91103001;11,1;
91200002;10,8;
94068001;11,2;
